,timestamp,total_foragers,total_feeders,foraging_events,feeding_events,transfer_events,avg_hunger_foragers,avg_hunger_feeders,avg_hunger_larvae,food_balance_in_nest,rush_intensity,exploration_bias,active_cells,nest_size
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,500.5,4.126,12.874,24.143,220.285,205.887,3.0611401666666356,1.2005870659340663,1.7065555172413764,76.77914167991425,0.8282164835164835,0.0,32.099,75.0
std,288.8194360957494,1.4574801021791852,1.4574801021791852,13.357206518054813,135.12283284091905,135.70010593123996,1.7867930287521976,0.13093530657720964,0.5709853235268658,45.514673314608636,0.21657832398877555,0.0,17.343586682085082,0.0
min,1.0,1.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,27.711653594286997,0.0,0.0,0.0,75.0
25%,250.75,2.0,12.0,13.0,98.0,84.0,1.3589999999999982,1.1131666666666669,1.126681034482759,39.219574836286895,0.7333333333333333,0.0,16.0,75.0
50%,500.5,5.0,12.0,26.0,245.0,208.0,2.618999999999984,1.1858333333333333,1.5694827586206883,52.635826797143984,0.9166666666666666,0.0,42.0,75.0
75%,750.25,5.0,15.0,36.0,340.0,324.0,4.61249999999994,1.2516666666666667,2.2693965517241326,106.44921998574512,1.0,0.0,47.0,75.0
max,1000.0,5.0,16.0,45.0,429.0,440.0,6.605999999999898,1.8200000000000005,2.806379310344813,194.43000000000004,1.0,0.0,55.0,75.0
